,CBSA Code,CBSA,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
0,10420,"Akron, OH",17.6,7.8,,,0.12,0.099,188.0,66.0,19.0,,,,,,1980
1,11780,"Ashtabula, OH",,,,,0.11,0.092,101.0,34.0,10.0,,,,,,1980
2,15940,"Canton-Massillon, OH",8.0,4.5,,29.0,0.1,0.087,,,,,,,,,1980
3,17060,"Chillicothe, OH",,,,,,,,,,,,,,,1980
4,17140,"Cincinnati, OH-KY-IN",10.0,6.0,70.0,26.0,0.16,0.11,190.0,55.0,14.0,,,,,,1980
5,17460,"Cleveland-Elyria, OH",16.3,11.0,,,0.12,0.097,516.0,125.0,18.0,,,,,,1980
6,18140,"Columbus, OH",20.0,12.1,,19.0,0.13,0.101,173.0,48.0,9.0,,,,,,1980
7,18740,"Coshocton, OH",,,,,,,,,,,,,,,1980
8,19380,"Dayton, OH",14.0,7.1,,,0.13,0.102,,,,,,,,,1980
9,22300,"Findlay, OH",,,,,,,,,,,,,,,1980
10,26580,"Huntington-Ashland, WV-KY-OH",,9.1,,,0.13,0.093,,,,,,,,,1980
11,30620,"Lima, OH",,,,,,,,,,,,,,,1980
12,31900,"Mansfield, OH",,,,,,,,,,,,,,,1980
13,31930,"Marietta, OH",,,,,,,,,,,,,,,1980
14,32020,"Marion, OH",,,,,,,,,,,,,,,1980
15,41400,"Salem, OH",,,,,,,,,,,,,,,1980
16,41780,"Sandusky, OH",,,,,,,,,,,,,,,1980
17,44220,"Springfield, OH",,,,,0.13,0.094,,,,,,,,,1980
18,45660,"Tiffin, OH",,,,,,,,,,,,,,,1980
19,45780,"Toledo, OH",12.5,5.8,,,0.14,0.101,255.0,86.0,13.0,,,,,,1980
20,48260,"Weirton-Steubenville, WV-OH",12.0,8.3,75.0,23.0,0.16,0.107,280.0,86.0,27.0,,,,,,1980
21,48540,"Wheeling, WV-OH",,4.9,,,0.09,0.062,,,,,,,,,1980
22,49660,"Youngstown-Warren-Boardman, OH-PA",11.0,6.0,175.0,41.0,0.12,0.091,185.0,60.0,13.0,,,,,,1980
0,10420,"Akron, OH",,8.9,,,0.24,0.108,365.0,117.0,21.0,,,,,,1981
1,11780,"Ashtabula, OH",,,,,0.14,0.099,,,,,,,,,1981
2,15940,"Canton-Massillon, OH",9.7,6.1,,,,,,,,,,,,,1981
3,17140,"Cincinnati, OH-KY-IN",12.5,9.6,73.0,26.0,0.13,0.096,359.0,106.0,14.0,,,,,,1981
4,17460,"Cleveland-Elyria, OH",18.0,9.9,,,0.12,0.098,155.0,59.0,16.0,,,,,,1981
5,18140,"Columbus, OH",22.0,10.0,98.0,22.0,0.11,0.092,,,,,,,,,1981
6,19380,"Dayton, OH",15.0,8.4,,,0.13,0.1,,,,,,,,,1981
7,26580,"Huntington-Ashland, WV-KY-OH",15.5,10.1,,,0.11,0.091,,,,,,,,,1981
8,30620,"Lima, OH",,,,,,,124.0,41.0,6.0,,,,,,1981
9,41400,"Salem, OH",,,,,,,250.0,86.0,28.0,,,,,,1981
10,44220,"Springfield, OH",,,,,0.12,0.105,,,,,,,,,1981
11,45780,"Toledo, OH",17.5,7.4,,,0.13,0.108,263.0,61.0,14.0,,,,,,1981
12,48260,"Weirton-Steubenville, WV-OH",12.0,8.3,75.0,21.0,0.1,0.063,315.0,117.0,23.0,,,,,,1981
13,48540,"Wheeling, WV-OH",7.2,9.2,,,,,,,,,,,,,1981
14,48940,"Wilmington, OH",,,,,0.13,0.1,,,,,,,,,1981
15,49660,"Youngstown-Warren-Boardman, OH-PA",10.0,6.8,200.0,35.0,0.13,0.095,135.0,58.0,15.0,,,,,,1981
0,10420,"Akron, OH",8.8,5.6,,,0.14,0.107,350.0,114.0,19.0,,,,,,1982
1,11780,"Ashtabula, OH",,,,,0.12,0.093,115.0,46.0,9.0,,,,,,1982
2,15940,"Canton-Massillon, OH",21.5,4.7,76.0,19.0,0.13,0.104,115.0,54.0,14.0,,,,,,1982
3,17140,"Cincinnati, OH-KY-IN",13.7,7.7,98.0,34.0,0.13,0.097,438.0,96.0,15.0,,,,,,1982
4,17460,"Cleveland-Elyria, OH",19.6,9.2,,,0.13,0.102,208.0,71.0,19.0,,,,,,1982
5,18140,"Columbus, OH",19.0,8.9,80.0,20.0,0.13,0.094,175.0,69.0,10.0,,,,,,1982
6,19380,"Dayton, OH",11.0,7.1,87.0,27.0,0.16,0.115,,,,,,,,,1982
7,26580,"Huntington-Ashland, WV-KY-OH",17.0,9.5,,14.0,0.13,0.094,,,,,,,,,1982
8,39020,"Portsmouth, OH",,,,,,,75.0,44.0,10.0,,,,,,1982
9,41400,"Salem, OH",,,,,,,,,23.0,,,,,,1982
10,44220,"Springfield, OH",,,,,0.12,0.103,,,,,,,,,1982
11,45780,"Toledo, OH",12.8,6.9,,,0.13,0.101,195.0,82.0,12.0,,,,,,1982
12,48260,"Weirton-Steubenville, WV-OH",17.0,7.5,,19.0,0.11,0.08,300.0,100.0,23.0,,,,,,1982
13,48540,"Wheeling, WV-OH",16.9,12.2,58.0,17.0,0.12,0.083,312.0,204.0,20.0,,,,,,1982
14,48940,"Wilmington, OH",,,,,0.11,0.095,,,,,,,,,1982
15,49660,"Youngstown-Warren-Boardman, OH-PA",11.5,5.5,,,0.11,0.095,155.0,58.0,10.0,,,,,,1982
0,10420,"Akron, OH",15.0,8.2,,,0.13,0.109,218.0,54.0,15.0,,,,,,1983
1,11780,"Ashtabula, OH",,,,,0.15,0.099,190.0,56.0,7.0,,,,,,1983
2,15940,"Canton-Massillon, OH",9.8,5.4,,19.0,0.13,0.103,99.0,56.0,13.0,,,,,,1983
3,17140,"Cincinnati, OH-KY-IN",10.5,6.9,265.0,36.0,0.15,0.115,327.0,91.0,14.0,,,,,,1983
4,17460,"Cleveland-Elyria, OH",17.9,10.2,103.0,28.0,0.15,0.111,220.0,91.0,21.0,,,,,,1983
5,18140,"Columbus, OH",13.0,8.5,95.0,23.0,0.12,0.098,88.0,40.0,8.0,,,,,,1983
6,19380,"Dayton, OH",12.7,7.4,,23.0,0.13,0.105,75.0,36.0,9.0,,,,,,1983
7,26580,"Huntington-Ashland, WV-KY-OH",14.8,7.3,65.0,14.0,0.14,0.106,544.0,121.0,15.0,,,,,,1983
8,30620,"Lima, OH",,,,,0.11,0.09,47.0,18.0,,,,,,,1983
9,31930,"Marietta, OH",,,,,,,200.0,51.0,15.0,,,,,,1983
10,41400,"Salem, OH",,,,,,,150.0,56.0,14.0,,,,,,1983
11,44220,"Springfield, OH",,,,,0.13,0.108,,,,,,,,,1983
12,45780,"Toledo, OH",12.7,7.2,,,0.13,0.106,275.0,68.0,10.0,,,,,,1983
13,48260,"Weirton-Steubenville, WV-OH",14.0,6.5,75.0,21.0,0.13,0.076,370.0,154.0,35.0,,,,,,1983
14,48540,"Wheeling, WV-OH",13.6,7.8,59.0,16.0,0.11,0.09,383.0,90.0,18.0,,,,,,1983
15,49660,"Youngstown-Warren-Boardman, OH-PA",9.5,5.3,,25.0,0.13,0.098,100.0,46.0,11.0,,,,,,1983
0,10420,"Akron, OH",12.8,4.8,,,0.11,0.09,165.0,59.0,17.0,,,,,,1984
1,11780,"Ashtabula, OH",,,,,0.11,0.085,178.0,56.0,10.0,,,,,,1984
2,15940,"Canton-Massillon, OH",9.7,5.1,62.0,18.0,0.12,0.092,137.0,58.0,13.0,,,,,,1984
3,17140,"Cincinnati, OH-KY-IN",13.5,7.4,110.0,30.0,0.14,0.1,302.0,68.0,15.0,,,76.0,30.0,,1984
4,17460,"Cleveland-Elyria, OH",15.8,8.4,81.0,29.0,0.14,0.097,284.0,106.0,22.0,,,,,,1984
5,18140,"Columbus, OH",13.0,7.8,82.0,24.0,0.11,0.09,235.0,83.0,11.0,,,,,,1984
6,19380,"Dayton, OH",13.5,7.2,79.0,23.0,0.12,0.089,96.0,44.0,10.0,,,,,,1984
7,26580,"Huntington-Ashland, WV-KY-OH",17.3,8.1,111.0,16.0,0.13,0.096,517.0,108.0,21.0,,,,,,1984
8,30620,"Lima, OH",,,,,0.1,0.08,,,,,,,,,1984
9,31930,"Marietta, OH",,,,,,,225.0,61.0,15.0,,,,,,1984
10,41400,"Salem, OH",,,,,,,175.0,50.0,15.0,,,,,,1984
11,44220,"Springfield, OH",,,,,0.1,0.081,,,,,,,,,1984
12,45780,"Toledo, OH",18.8,11.3,,,0.11,0.078,95.0,33.0,8.0,,,,,,1984
13,48260,"Weirton-Steubenville, WV-OH",25.0,12.0,,20.0,,,444.0,117.0,36.0,,,,,,1984
14,48540,"Wheeling, WV-OH",17.1,8.7,57.0,16.0,0.09,0.081,239.0,71.0,16.0,,,,,,1984
15,49660,"Youngstown-Warren-Boardman, OH-PA",12.5,5.3,,28.0,0.1,0.087,79.0,46.0,8.0,,,,,,1984
0,10420,"Akron, OH",10.0,4.8,,,0.11,0.091,170.0,81.0,21.0,,,,,,1985
1,11780,"Ashtabula, OH",,,,,0.09,0.08,300.0,43.0,9.0,,,,,,1985
2,15940,"Canton-Massillon, OH",7.2,3.5,82.0,19.0,0.1,0.086,,,12.0,,,,,,1985
3,17140,"Cincinnati, OH-KY-IN",12.5,7.2,100.0,29.0,0.12,0.094,214.0,88.0,27.0,,,55.0,30.0,,1985
4,17460,"Cleveland-Elyria, OH",20.4,7.9,,30.0,0.12,0.093,290.0,99.0,18.0,,,,,,1985
5,18140,"Columbus, OH",10.0,5.9,,25.0,0.11,0.091,145.0,59.0,14.0,,,,,,1985
6,19380,"Dayton, OH",11.7,5.1,87.0,21.0,0.11,0.088,62.0,30.0,9.0,,,,,,1985
7,26580,"Huntington-Ashland, WV-KY-OH",10.4,5.7,56.0,17.0,0.14,0.096,373.0,96.0,20.0,,,,,,1985
8,30620,"Lima, OH",,,,,0.1,0.08,,,,,,,,,1985
9,31900,"Mansfield, OH",,,,,,,93.0,45.0,8.0,,,,,,1985
10,39020,"Portsmouth, OH",,,,,,,130.0,60.0,10.0,,,,,,1985
11,41400,"Salem, OH",,,,,,,260.0,74.0,17.0,,,,,,1985
12,44220,"Springfield, OH",,,,,0.11,0.084,,,,,,,,,1985
13,45780,"Toledo, OH",9.2,6.1,,,0.1,0.081,200.0,99.0,9.0,,,,,,1985
14,48260,"Weirton-Steubenville, WV-OH",,10.1,70.0,19.0,0.09,0.058,274.0,93.0,32.0,,,,,,1985
15,48540,"Wheeling, WV-OH",14.1,6.8,,17.0,0.11,0.084,220.0,58.0,18.0,,,,,,1985
16,49660,"Youngstown-Warren-Boardman, OH-PA",6.0,4.8,,,0.11,0.088,105.0,52.0,10.0,,,,,,1985
0,10420,"Akron, OH",7.5,4.5,,,0.11,0.092,170.0,59.0,18.0,,,74.0,34.0,,1986
1,11780,"Ashtabula, OH",,,,,0.1,0.081,241.0,48.0,8.0,,,,,,1986
2,13340,"Bellefontaine, OH",,,,,,,,,,,,,,,1986
3,15940,"Canton-Massillon, OH",5.2,3.2,,,0.11,0.085,105.0,48.0,11.0,,,,,,1986
4,17140,"Cincinnati, OH-KY-IN",16.0,6.1,85.0,29.0,0.13,0.097,345.0,76.0,15.0,,,67.0,30.0,,1986
5,17460,"Cleveland-Elyria, OH",13.0,10.1,75.0,27.0,0.12,0.094,233.0,87.0,18.0,,,,,,1986
6,18140,"Columbus, OH",9.0,5.4,,,0.11,0.088,95.0,39.0,10.0,,,,,,1986
7,19380,"Dayton, OH",11.6,7.0,,,0.13,0.094,68.0,30.0,8.0,,,,,,1986
8,26580,"Huntington-Ashland, WV-KY-OH",,5.9,115.0,16.0,0.14,0.085,397.0,119.0,21.0,,,106.0,48.0,,1986
9,30620,"Lima, OH",,,,,0.08,0.069,45.0,22.0,4.0,,,,,,1986
10,31900,"Mansfield, OH",,,,,,,77.0,32.0,7.0,,,,,,1986
11,35420,"New Philadelphia-Dover, OH",,,,,,,243.0,73.0,16.0,,,,,,1986
12,41400,"Salem, OH",,,,,,,245.0,76.0,16.0,,,118.0,42.0,,1986
13,44220,"Springfield, OH",,,,,0.12,0.089,68.0,29.0,7.0,,,,,,1986
14,45780,"Toledo, OH",14.5,5.8,,,0.12,0.086,145.0,48.0,8.0,,,85.0,39.0,,1986
15,48260,"Weirton-Steubenville, WV-OH",19.0,9.1,90.0,20.0,0.18,0.071,340.0,128.0,35.0,,,266.0,70.0,,1986
16,48540,"Wheeling, WV-OH",11.0,7.3,62.0,18.0,0.1,0.081,262.0,71.0,20.0,,,83.0,35.0,,1986
17,48940,"Wilmington, OH",,,,,0.12,0.09,,,,,,,,,1986
18,49660,"Youngstown-Warren-Boardman, OH-PA",6.5,4.3,,,0.12,0.085,103.0,53.0,10.0,,,82.0,37.0,,1986
0,10420,"Akron, OH",9.3,5.1,,,0.13,0.103,,,,,,,,,1987
1,11780,"Ashtabula, OH",,,,,0.13,0.094,,,,,,,,,1987
2,13340,"Bellefontaine, OH",,,,,,,,,,,,,,,1987
3,15940,"Canton-Massillon, OH",5.8,3.6,,,0.12,0.095,98.0,45.0,10.0,,,,,,1987
4,17140,"Cincinnati, OH-KY-IN",9.5,6.1,100.0,33.0,0.15,0.109,321.0,76.0,18.0,,,,,,1987
5,17460,"Cleveland-Elyria, OH",11.5,6.6,73.0,31.0,0.13,0.092,170.0,76.0,17.0,,,132.0,51.0,,1987
6,18140,"Columbus, OH",12.0,6.3,,,0.12,0.09,103.0,39.0,8.0,,,76.0,40.0,,1987
7,19380,"Dayton, OH",14.3,6.4,,,0.12,0.09,48.0,29.0,6.0,,,67.0,35.0,,1987
8,26580,"Huntington-Ashland, WV-KY-OH",8.9,4.5,133.0,16.0,0.14,0.1,560.0,147.0,27.0,,,,,,1987
9,30620,"Lima, OH",,,,,0.1,0.084,96.0,30.0,5.0,,,,,,1987
10,31900,"Mansfield, OH",,,,,,,91.0,35.0,9.0,,,,,,1987
11,35420,"New Philadelphia-Dover, OH",,,,,,,259.0,122.0,,,,,,,1987
12,39020,"Portsmouth, OH",,,,,,,125.0,72.0,13.0,,,,,,1987
13,41400,"Salem, OH",,,,,,,230.0,72.0,13.0,,,102.0,40.0,,1987
14,44220,"Springfield, OH",,,,,0.12,0.099,70.0,31.0,7.0,,,60.0,29.0,,1987
15,45780,"Toledo, OH",9.2,5.1,,,0.12,0.092,184.0,44.0,9.0,,,64.0,30.0,,1987
16,48260,"Weirton-Steubenville, WV-OH",47.0,30.3,87.0,20.0,0.1,0.079,341.0,157.0,33.0,,,191.0,69.0,,1987
17,48540,"Wheeling, WV-OH",13.6,6.0,58.0,19.0,0.12,0.089,341.0,83.0,21.0,,,,,,1987
18,48940,"Wilmington, OH",,,,,0.11,0.098,,,,,,,,,1987
19,49660,"Youngstown-Warren-Boardman, OH-PA",,3.7,,,0.12,0.1,113.0,43.0,10.0,,,,,,1987
0,10420,"Akron, OH",8.3,4.9,,,0.17,0.134,137.0,43.0,14.0,,,,,,1988
1,11780,"Ashtabula, OH",,,,,0.17,0.116,,,,,,,,,1988
2,13340,"Bellefontaine, OH",,,,,,,,,,,,,,,1988
3,15940,"Canton-Massillon, OH",6.5,3.3,,,0.15,0.126,91.0,39.0,11.0,,,85.0,35.0,,1988
4,17140,"Cincinnati, OH-KY-IN",7.5,4.6,115.0,30.0,0.17,0.13,286.0,61.0,18.0,,,124.0,41.0,,1988
5,17460,"Cleveland-Elyria, OH",13.8,7.0,105.0,31.0,0.16,0.127,229.0,69.0,18.0,,,,,,1988
6,18140,"Columbus, OH",11.0,6.5,42.0,11.0,0.15,0.117,117.0,40.0,8.0,,,75.0,35.0,,1988
7,19380,"Dayton, OH",8.2,4.5,,,0.12,0.11,52.0,25.0,5.0,,,76.0,34.0,,1988
8,23380,"Fremont, OH",,,,,0.1,0.087,,,,,,,,,1988
9,26580,"Huntington-Ashland, WV-KY-OH",8.0,3.9,69.0,16.0,0.17,0.115,581.0,168.0,24.0,,,106.0,43.0,,1988
10,30620,"Lima, OH",,,,,0.11,0.088,,,,,,,,,1988
11,41400,"Salem, OH",,,,,,,275.0,120.0,18.0,,,,,,1988
12,44220,"Springfield, OH",,,,,0.14,0.116,60.0,26.0,6.0,,,,,,1988
13,45780,"Toledo, OH",8.3,4.7,,,0.16,0.124,150.0,44.0,9.0,,,,,,1988
14,48260,"Weirton-Steubenville, WV-OH",39.0,19.6,75.0,21.0,0.12,0.108,474.0,125.0,39.0,,,140.0,47.0,,1988
15,48540,"Wheeling, WV-OH",7.5,4.4,57.0,18.0,0.12,0.103,299.0,77.0,25.0,,,85.0,32.0,,1988
16,48940,"Wilmington, OH",,,,,0.12,0.103,,,,,,,,,1988
17,49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.14,0.118,110.0,54.0,10.0,,,,,,1988
0,10420,"Akron, OH",10.6,7.0,,,0.14,0.104,136.0,54.0,15.0,,,,,,1989
1,11780,"Ashtabula, OH",,,,,0.11,0.095,102.0,33.0,8.0,,,,,,1989
2,13340,"Bellefontaine, OH",,,,,,,,,,,,,,,1989
3,15940,"Canton-Massillon, OH",6.7,4.8,,,0.12,0.092,96.0,41.0,12.0,,,88.0,37.0,,1989
4,17140,"Cincinnati, OH-KY-IN",10.0,5.3,93.0,30.0,0.12,0.1,287.0,84.0,13.0,,,116.0,46.0,,1989
5,17460,"Cleveland-Elyria, OH",23.7,8.2,98.0,34.0,0.12,0.096,223.0,61.0,18.0,,,114.0,52.0,,1989
6,18140,"Columbus, OH",10.0,6.9,46.0,11.0,0.11,0.095,114.0,41.0,10.0,,,90.0,40.0,,1989
7,19380,"Dayton, OH",10.3,5.8,,,0.11,0.092,46.0,26.0,7.0,,,78.0,35.0,,1989
8,26580,"Huntington-Ashland, WV-KY-OH",9.0,5.5,95.0,13.0,0.12,0.097,325.0,124.0,19.0,,,107.0,42.0,,1989
9,30620,"Lima, OH",,,,,0.1,0.087,63.0,33.0,6.0,,,,,,1989
10,34540,"Mount Vernon, OH",,,,,0.1,0.083,,,,,,,,,1989
11,39020,"Portsmouth, OH",,,,,,,,,,,,98.0,38.0,,1989
12,41400,"Salem, OH",,,,,,,210.0,50.0,22.0,,,93.0,42.0,,1989
13,44220,"Springfield, OH",,,,,0.15,0.097,73.0,35.0,5.0,,,,,,1989
14,45780,"Toledo, OH",7.8,4.5,,,0.11,0.091,138.0,50.0,8.0,,,60.0,29.0,,1989
15,48260,"Weirton-Steubenville, WV-OH",40.0,13.3,103.0,23.0,0.11,0.083,451.0,128.0,35.0,,,210.0,50.0,,1989
16,48540,"Wheeling, WV-OH",8.4,5.2,,19.0,0.11,0.084,332.0,76.0,26.0,,,74.0,34.0,,1989
17,48940,"Wilmington, OH",,,,,0.11,0.091,,,,,,,,,1989
18,49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.11,0.092,110.0,43.0,11.0,,,95.0,36.0,,1989
0,10420,"Akron, OH",10.6,5.7,,,0.11,0.091,161.0,61.0,15.0,,,62.0,28.0,,1990
1,11780,"Ashtabula, OH",,,,,0.11,0.084,95.0,26.0,6.0,,,,,,1990
2,13340,"Bellefontaine, OH",,,,,0.11,0.091,,,,,,,,,1990
3,15940,"Canton-Massillon, OH",5.1,2.9,,,0.11,0.088,87.0,37.0,11.0,,,72.0,35.0,,1990
4,17140,"Cincinnati, OH-KY-IN",7.4,4.8,88.0,28.0,0.15,0.104,303.0,75.0,17.0,,,91.0,35.0,,1990
5,17460,"Cleveland-Elyria, OH",8.8,5.3,86.0,29.0,0.12,0.089,196.0,80.0,17.0,,,122.0,48.0,,1990
6,18140,"Columbus, OH",12.0,4.8,41.0,11.0,0.11,0.089,92.0,38.0,7.0,,,91.0,35.0,,1990
7,19380,"Dayton, OH",9.4,3.8,,,0.11,0.086,49.0,22.0,6.0,,,72.0,29.0,,1990
8,26580,"Huntington-Ashland, WV-KY-OH",8.3,4.7,,16.0,0.14,0.101,398.0,126.0,18.0,,,117.0,36.0,,1990
9,30620,"Lima, OH",,,,,0.1,0.084,44.0,26.0,5.0,,,,,,1990
10,34540,"Mount Vernon, OH",,,,,0.1,0.085,,,,,,,,,1990
11,35420,"New Philadelphia-Dover, OH",,,,,,,183.0,65.0,15.0,,,,,,1990
12,35940,"Norwalk, OH",,,,,0.09,0.081,,,,,,,,,1990
13,39020,"Portsmouth, OH",,,,,,,114.0,45.0,7.0,,,86.0,36.0,,1990
14,41400,"Salem, OH",,,,,,,250.0,67.0,22.0,,,78.0,36.0,,1990
15,44220,"Springfield, OH",,,,,0.12,0.094,60.0,24.0,6.0,,,,,,1990
16,45780,"Toledo, OH",7.7,5.9,,,0.1,0.083,101.0,35.0,7.0,,,58.0,26.0,,1990
17,48260,"Weirton-Steubenville, WV-OH",40.0,20.5,67.0,20.0,0.09,0.075,486.0,131.0,39.0,,,135.0,43.0,,1990
18,48540,"Wheeling, WV-OH",11.9,7.1,,,0.11,0.08,190.0,66.0,16.0,,,95.0,30.0,,1990
19,48940,"Wilmington, OH",,,,,0.11,0.094,,,,,,,,,1990
20,49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.1,0.087,100.0,40.0,10.0,,,85.0,33.0,,1990
0,10420,"Akron, OH",7.2,3.3,,,0.13,0.102,183.0,52.0,15.0,,,59.0,30.0,,1991
1,11780,"Ashtabula, OH",,,,,0.12,0.097,112.0,38.0,8.0,,,,,,1991
2,13340,"Bellefontaine, OH",,,,,0.12,0.098,,,,,,,,,1991
3,15940,"Canton-Massillon, OH",5.5,2.5,,,0.12,0.097,85.0,37.0,10.0,,,62.0,34.0,,1991
4,17140,"Cincinnati, OH-KY-IN",6.3,4.9,51.0,30.0,0.14,0.106,275.0,55.0,16.0,,,87.0,35.0,,1991
5,17460,"Cleveland-Elyria, OH",9.1,5.7,86.0,29.0,0.13,0.1,243.0,64.0,15.0,,,109.0,48.0,,1991
6,18140,"Columbus, OH",15.0,6.5,,12.0,0.12,0.101,67.0,33.0,8.0,,,79.0,33.0,,1991
7,19380,"Dayton, OH",7.3,3.9,,,0.12,0.094,37.0,21.0,4.0,,,61.0,30.0,,1991
8,23380,"Fremont, OH",,,,,,,,,,,,71.0,29.0,,1991
