fips,county_name,pop_2016
08001,Adams,498187
08003,Alamosa,16654
08005,Arapahoe,637068
08007,Archuleta,12854
08009,Baca,3568
08011,Bent,5861
08013,Boulder,322226
08014,Broomfield,66529
08015,Chaffee,19058
08017,Cheyenne,1848
08019,Clear Creek,9436
08021,Conejos,8129
08023,Costilla,3721
08025,Crowley,5694
08027,Custer,4602
08029,Delta,30442
08031,Denver,693060
08033,Dolores,2056
08035,Douglas,328632
08037,Eagle,53989
08039,Elbert,25231
08041,El Paso,688284
08043,Fremont,47446
08045,Garfield,58887
08047,Gilpin,5931
08049,Grand,15008
08051,Gunnison,16408
08053,Hinsdale,788
08055,Huerfano,6677
08057,Jackson,1357
08059,Jefferson,571837
08061,Kiowa,1373
08063,Kit Carson,8195
08065,Lake,7618
08067,La Plata,55623
08069,Larimer,339993
08071,Las Animas,14103
08073,Lincoln,5643
08075,Logan,21919
08077,Mesa,150083
08079,Mineral,732
08081,Moffat,13109
08083,Montezuma,26999
08085,Montrose,41471
08087,Morgan,28274
08089,Otero,18295
08091,Ouray,4857
08093,Park,17166
08095,Phillips,4288
08097,Pitkin,17752
08099,Prowers,11922
08101,Pueblo,165123
08103,Rio Blanco,6545
08105,Rio Grande,11479
08107,Routt,24648
08109,Saguache,6389
08111,San Juan,694
08113,San Miguel,8017
08115,Sedgwick,2407
08117,Summit,30374
08119,Teller,24043
08121,Washington,4908
08123,Weld,294932
08125,Yuma,10103