year,month,country,product,kilos,dollars
2010,01,CHINA,EELS FROZEN,49087,393583
2010,01,JAPAN,EELS FRESH,263,7651
2010,01,TAIWAN,EELS FROZEN,9979,116359
2010,01,VIETNAM,EELS FRESH,1938,10851
2010,01,VIETNAM,EELS FROZEN,21851,69955
2010,02,CHINA,EELS FROZEN,20600,234486
2010,02,PORTUGAL,EELS FRESH,537,6301
2010,02,TAIWAN,EELS FROZEN,11974,141474
2010,02,THAILAND,EELS FROZEN,810,3348
2010,02,VIETNAM,EELS FRESH,1633,9745
2010,03,CHINA,EELS FROZEN,18989,52740
2010,03,JAPAN,EELS FROZEN,93,2159
2010,03,PORTUGAL,EELS FRESH,160,2080
2010,03,PORTUGAL,EELS FROZEN,332,4818
2010,03,SOUTH KOREA,EELS FROZEN,14180,158816
2010,03,TAIWAN,EELS FROZEN,5987,77424
2010,03,VIETNAM,EELS FRESH,1042,6326
2010,03,VIETNAM,EELS FROZEN,5497,19790
2010,04,CHINA,EELS FROZEN,30000,216000
2010,04,JAPAN,EELS FRESH,266,13357
2010,04,TAIWAN,EELS FROZEN,14968,185425
2010,04,VIETNAM,EELS FRESH,1056,6405
2010,05,CHINA,EELS FROZEN,40022,560651
2010,05,JAPAN,EELS FROZEN,93,2130
2010,05,SOUTH KOREA,EELS FROZEN,2860,32461
2010,05,TAIWAN,EELS FROZEN,5987,96165
2010,05,VIETNAM,EELS FROZEN,8872,20848
2010,06,CHINA,EELS FROZEN,32315,325802
2010,06,JAPAN,EELS FRESH,122,5721
2010,06,VIETNAM,EELS FRESH,379,2246
2010,06,VIETNAM,EELS FROZEN,9363,18188
2010,07,CHINA,EELS FROZEN,26880,299629
2010,07,JAPAN,EELS FRESH,64,2050
2010,07,JAPAN,EELS FROZEN,93,2130
2010,07,TAIWAN,EELS FROZEN,10977,139473
2010,08,CHINA,EELS FRESH,10179,14063
2010,08,CHINA,EELS FROZEN,28517,366655
2010,08,JAPAN,EELS FRESH,51,2002
2010,08,VIETNAM,EELS FROZEN,4157,11861
2010,09,CANADA,EELS FROZEN,3866,25488
2010,09,CHINA,EELS FROZEN,41780,474956
2010,09,PORTUGAL,EELS FROZEN,360,2060
2010,09,SOUTH KOREA,EELS FROZEN,299,4488
2010,09,TAIWAN,EELS FROZEN,5987,103038
2010,10,CANADA,EELS FROZEN,7246,52610
2010,10,CHINA,EELS FROZEN,25447,302398
2010,10,JAPAN,EELS FRESH,45,2377
2010,10,JAPAN,EELS FROZEN,187,4798
2010,10,PORTUGAL,EELS FROZEN,292,2159
2010,10,SOUTH KOREA,EELS FROZEN,110,4950
2010,10,TAIWAN,EELS FROZEN,7983,146873
2010,10,THAILAND,EELS FROZEN,1376,4988
2010,10,VIETNAM,EELS FRESH,373,2103
2010,11,CANADA,EELS FROZEN,369,3460
2010,11,CHINA,EELS FROZEN,30948,79231
2010,11,JAPAN,EELS FRESH,49,2953
2010,11,SOUTH KOREA,EELS FROZEN,6000,64283
2010,12,CANADA,EELS FROZEN,2071,18932
2010,12,CHINA,EELS FROZEN,17633,50276
2010,12,PORTUGAL,EELS FROZEN,400,2403
2010,12,SOUTH KOREA,EELS FROZEN,19480,227924
2010,12,THAILAND,EELS FROZEN,680,2805
2010,12,VIETNAM,EELS FROZEN,7557,25651
2011,01,CHINA,EELS FROZEN,29435,409724
2011,01,SOUTH KOREA,EELS FROZEN,19761,233588
2011,01,THAILAND,EELS FROZEN,1067,3900
2011,01,VIETNAM,EELS FROZEN,8344,28115
2011,02,CANADA,EELS FROZEN,1437,14256
2011,02,CHINA,EELS FROZEN,18700,70404
2011,02,JAPAN,EELS FROZEN,234,6125
2011,02,PORTUGAL,EELS FRESH,405,5874
2011,02,THAILAND,EELS FROZEN,1200,4065
2011,02,VIETNAM,EELS FROZEN,1995,8273
2011,03,CANADA,EELS FROZEN,1346,15766
2011,03,CHINA,EELS FROZEN,41651,616934
2011,03,PORTUGAL,EELS FROZEN,432,3497
2011,03,SOUTH KOREA,EELS FROZEN,1000,2047
2011,03,VIETNAM,EELS FROZEN,14179,54191
2011,04,CHINA,EELS FROZEN,7000,26950
2011,04,JAPAN,EELS FRESH,140,8586
2011,04,JAPAN,EELS FROZEN,1158,13569
2011,04,PORTUGAL,EELS FRESH,214,2192
2011,04,PORTUGAL,EELS FROZEN,384,3237
2011,04,SOUTH KOREA,EELS FROZEN,1140,5917
2011,05,CHINA,EELS FRESH,120,3381
2011,05,CHINA,EELS FROZEN,12973,267410
2011,05,JAPAN,EELS FRESH,186,11811
2011,05,JAPAN,EELS FROZEN,187,4755
2011,05,PORTUGAL,EELS FRESH,210,2221
2011,05,SENEGAL,EELS FROZEN,1350,4423
2011,05,VIETNAM,EELS FROZEN,5679,35497
2011,06,CHINA,EELS FROZEN,35504,501611
2011,06,JAPAN,EELS FRESH,50,3414
2011,06,PORTUGAL,EELS FRESH,250,4205
2011,06,PORTUGAL,EELS FROZEN,720,4571
2011,06,SOUTH KOREA,EELS FROZEN,6459,79844
2011,06,VIETNAM,EELS FRESH,506,2075
2011,06,VIETNAM,EELS FROZEN,17818,30902
2011,07,CANADA,EELS FROZEN,11975,92400
2011,07,CHINA,EELS FROZEN,52900,772992
2011,07,JAPAN,EELS FROZEN,150,6160
2011,07,PORTUGAL,EELS FROZEN,237,4830
2011,07,SOUTH KOREA,EELS FROZEN,482,15759
2011,07,THAILAND,EELS FROZEN,1153,4500
2011,07,VIETNAM,EELS FROZEN,13088,63997
2011,08,CHINA,EELS FROZEN,3369,12485
2011,08,JAPAN,EELS FRESH,131,7211
2011,08,SOUTH KOREA,EELS FROZEN,1594,13715
2011,08,THAILAND,EELS FROZEN,1598,6000
2011,08,VIETNAM,EELS FROZEN,17191,62343
2011,09,CANADA,EELS FROZEN,1134,11250
2011,09,CHINA,EELS FROZEN,5000,23100
2011,09,JAPAN,EELS FROZEN,190,8616
2011,09,VIETNAM,EELS FROZEN,14879,47696
2011,10,VIETNAM,EELS FROZEN,19283,96447
2011,11,CANADA,EELS FROZEN,7963,87780
2011,11,CHINA,EELS FROZEN,4600,22540
2011,11,NEW ZEALAND,EELS FRESH,1326,18135
2011,11,SOUTH KOREA,EELS FROZEN,249,2858
2011,11,VIETNAM,EELS FROZEN,12366,51666
2011,12,CANADA,EELS FROZEN,1113,12994
2011,12,CHINA,EELS FROZEN,37980,865738
2011,12,JAPAN,EELS FRESH,83,5536
2011,12,NEW ZEALAND,EELS FRESH,1326,11621
2011,12,PORTUGAL,EELS FRESH,208,2223
2011,12,PORTUGAL,EELS FROZEN,612,3374
2011,12,SOUTH KOREA,EELS FROZEN,10700,131793
2011,12,VIETNAM,EELS FRESH,245,2970
2011,12,VIETNAM,EELS FROZEN,29915,144659
2012,01,CHINA,EELS FROZEN,3880,19012
2012,01,JAPAN,EELS FRESH,42,2219
2012,01,PORTUGAL,EELS FRESH,348,5102
2012,01,SOUTH KOREA,EELS FROZEN,11860,149808
2012,01,THAILAND,EELS FROZEN,3676,15273
2012,01,VIETNAM,EELS FRESH,236,2433
2012,01,VIETNAM,EELS FROZEN,31331,160620
2012,02,CANADA,EELS FROZEN,7903,52272
2012,02,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,2935,9310
2012,02,CHINA,EELS IN ATC NOT IN OIL,36000,627824
2012,02,CHINA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1361,6000
2012,02,NEW ZEALAND,EELS FRESH,300,3671
2012,02,PORTUGAL,EELS FRESH,259,2600
2012,02,SOUTH KOREA,EELS IN OIL >7KG,800,6090
2012,02,VIETNAM,EELS FROZEN,14056,46823
2012,03,CANADA,EELS FROZEN,5014,58592
2012,03,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1122,6658
2012,03,CHINA,EELS IN ATC NOT IN OIL,135547,3132648
2012,03,CHINA,EELS IN OIL NOT >7KG,1250,10813
2012,03,JAPAN,EELS IN ATC NOT IN OIL,9415,53966
2012,03,JAPAN,EELS IN OIL NOT >7KG,166,4617
2012,03,PORTUGAL,EELS FRESH,733,9125
2012,03,TAIWAN,EELS IN ATC NOT IN OIL,1824,14374
2012,03,VIETNAM,EELS FROZEN,617,2495
2012,04,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1199,4579
2012,04,CHINA,EELS FROZEN,17900,567873
2012,04,CHINA,EELS IN ATC NOT IN OIL,98526,3218672
2012,04,CHINA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1746,6952
2012,04,JAPAN,EELS FRESH,35,2493
2012,04,JAPAN,EELS IN ATC NOT IN OIL,5605,32128
2012,04,POLAND,EELS IN ATC NOT IN OIL,1296,4592
2012,04,PORTUGAL,EELS FROZEN,288,2186
2012,04,SOUTH KOREA,EELS FROZEN,90,2008
2012,04,TAIWAN,EELS IN ATC NOT IN OIL,7018,76286
2012,04,THAILAND,EELS FROZEN,2244,11411
2012,04,VIETNAM,EELS FROZEN,8394,40239
2012,04,VIETNAM,EELS IN OIL NOT >7KG,1896,12097
2012,05,CANADA,EELS FRESH,27144,318000
2012,05,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,973,6352
2012,05,CHINA,EELS FROZEN,100,2837
2012,05,CHINA,EELS IN ATC NOT IN OIL,186496,5919736
2012,05,CHINA,EELS IN OIL >7KG,1250,11895
2012,05,CHINA,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,3751,25718
2012,05,JAPAN,EELS IN ATC NOT IN OIL,5612,36703
2012,05,JAPAN,EELS IN OIL NOT >7KG,108,2432
2012,05,SOUTH KOREA,EELS IN OIL NOT >7KG,420,16800
2012,05,TAIWAN,EELS IN ATC NOT IN OIL,17933,63953
2012,05,VIETNAM,EELS FROZEN,5156,13416
2012,06,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,4968,12917
2012,06,CHINA,EELS IN ATC NOT IN OIL,53460,1604500
2012,06,CHINA,EELS IN OIL NOT >7KG,7200,176040
2012,06,CHINA,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,2527,18226
2012,06,JAPAN,EELS FRESH,105,6128
2012,06,JAPAN,EELS IN ATC NOT IN OIL,3103,25701
2012,06,JAPAN,EELS IN OIL NOT >7KG,96,3173
2012,06,TAIWAN,EELS IN ATC NOT IN OIL,960,9000
2012,07,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,6128,11806
2012,07,CHINA,EELS FRESH,7983,278872
2012,07,CHINA,EELS FROZEN,16925,69717
2012,07,CHINA,EELS IN ATC NOT IN OIL,215700,6850258
2012,07,JAPAN,EELS IN ATC NOT IN OIL,3159,18104
2012,07,JAPAN,EELS IN OIL NOT >7KG,251,7982
2012,07,PORTUGAL,EELS FRESH,319,4078
2012,07,SOUTH KOREA,EELS FROZEN,2554,6096
2012,07,THAILAND,EELS FROZEN,1816,8492
2012,07,THAILAND,EELS IN ATC NOT IN OIL,660,5000
2012,07,VIETNAM,EELS FROZEN,1588,14175
2012,07,VIETNAM,EELS IN OIL NOT >7KG,800,3235
2012,08,CANADA,EELS FRESH,499,4675
2012,08,CANADA,EELS FROZEN,1015,8324
2012,08,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,5760,7346
2012,08,CHINA,EELS FROZEN,23289,317760
2012,08,CHINA,EELS IN ATC NOT IN OIL,212096,3453280
2012,08,JAPAN,EELS FRESH,42,2085
2012,08,JAPAN,EELS IN ATC NOT IN OIL,1464,14651
2012,08,JAPAN,EELS IN OIL NOT >7KG,223,7887
2012,08,TAIWAN,EELS IN ATC NOT IN OIL,15252,156280
2012,08,VIETNAM,EELS FROZEN,13849,54902
2012,09,CANADA,EELS FRESH,793,7438
2012,09,CHINA,EELS FROZEN,1634,6750
2012,09,CHINA,EELS IN ATC NOT IN OIL,151720,2742048
2012,09,CHINA,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,2241,15832
2012,09,JAPAN,EELS IN ATC NOT IN OIL,106,2749
2012,09,JAPAN,EELS IN OIL NOT >7KG,30,2310
2012,09,SPAIN,EELS FRESH,231,2777
2012,09,TAIWAN,EELS IN ATC NOT IN OIL,1361,2100
2012,09,VIETNAM,EELS FROZEN,1666,5822
2012,10,BANGLADESH,EELS FRESH,13,3186
2012,10,CANADA,EELS FROZEN,2268,25500
2012,10,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,8119,24111
2012,10,CHINA,EELS FROZEN,8446,28100
2012,10,CHINA,EELS IN ATC NOT IN OIL,53020,1549936
2012,10,CHINA,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,3926,16527
2012,10,JAPAN,EELS IN ATC NOT IN OIL,1677,24262
2012,10,JAPAN,EELS IN OIL NOT >7KG,274,9418
2012,10,PORTUGAL,EELS FRESH,247,2505
2012,10,TAIWAN,EELS IN ATC NOT IN OIL,3350,25065
2012,10,THAILAND,EELS IN OIL NOT >7KG,1092,4179
2012,10,VIETNAM,EELS FROZEN,6786,32632
2012,11,CANADA,EELS FROZEN,2268,28750
2012,11,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,25543,65941
2012,11,CHINA,EELS IN ATC NOT IN OIL,102971,3208620
2012,11,JAPAN,EELS IN ATC NOT IN OIL,106,2800
2012,11,JAPAN,EELS IN OIL NOT >7KG,194,8857
2012,11,PORTUGAL,EELS FRESH,385,5561
2012,11,SOUTH KOREA,EELS FROZEN,12422,169015
2012,11,SPAIN,EELS IN ATC NOT IN OIL,746,10683
2012,11,VIETNAM,EELS FROZEN,19595,88380
2012,12,CANADA,EELS FROZEN,980,8640
2012,12,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,6165,17209
2012,12,CHINA,EELS IN ATC NOT IN OIL,85540,2528320
2012,12,CHINA,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,907,6300
2012,12,JAPAN,EELS IN OIL NOT >7KG,442,13754
2012,12,NEW ZEALAND,EELS FRESH,600,7937
2012,12,TAIWAN,EELS IN ATC NOT IN OIL,6076,34797
2012,12,VIETNAM,EELS FROZEN,11143,63080
2012,12,VIETNAM,EELS IN OIL NOT >7KG,950,8648
2013,01,CHINA,EELS FROZEN,3461,15000
2013,01,CHINA,EELS IN ATC NOT IN OIL,73451,1815394
2013,01,JAPAN,EELS IN ATC NOT IN OIL,120,4004
2013,01,PORTUGAL,EELS IN ATC NOT IN OIL,348,8999
2013,01,SOUTH KOREA,EELS FROZEN,12572,174557
2013,01,TAIWAN,EELS IN ATC NOT IN OIL,2715,24931
2013,01,THAILAND,EELS FROZEN,2672,14696
2013,01,VIETNAM,EELS FROZEN,1912,7563
2013,02,CANADA,EELS FROZEN,7245,91839
2013,02,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1074,6904
2013,02,CHINA,EELS IN ATC NOT IN OIL,74000,2038354
2013,02,CHINA,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,1202,7998
2013,02,JAPAN,EELS IN ATC NOT IN OIL,39919,232614
2013,02,JAPAN,EELS IN OIL NOT >7KG,173,5304
2013,02,SOUTH KOREA,EELS FROZEN,12000,162000
2013,02,TAIWAN,EELS IN ATC NOT IN OIL,480,4499
2013,02,THAILAND,EELS FROZEN,1816,8588
2013,02,VIETNAM,EELS FROZEN,7607,28110
2013,03,CANADA,EELS FROZEN,5907,58592
2013,03,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,4119,6736
2013,03,CHINA,EELS FROZEN,5176,19380
2013,03,CHINA,EELS IN ATC NOT IN OIL,78109,2097915
2013,03,CHINA,EELS IN OIL >7KG,1250,11970
2013,03,JAPAN,EELS IN ATC NOT IN OIL,4280,32965
2013,03,JAPAN,EELS IN OIL NOT >7KG,165,6538
2013,03,NORWAY,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,3856,26775
2013,03,PORTUGAL,EELS FRESH,482,4828
2013,03,PORTUGAL,EELS FROZEN,348,2829
2013,03,SOUTH KOREA,EELS FROZEN,1199,17160
2013,03,VIETNAM,EELS FROZEN,1830,7478
2013,04,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,13835,48943
2013,04,CHINA,EELS IN ATC NOT IN OIL,60600,1604500
2013,04,JAPAN,EELS IN ATC NOT IN OIL,41033,235200
2013,04,NORWAY,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,1061,7371
2013,04,SOUTH KOREA,EELS IN OIL NOT >7KG,854,10669
2013,04,TAIWAN,EELS IN ATC NOT IN OIL,2057,16119
2013,05,CHINA,EELS IN ATC NOT IN OIL,122000,3199315
2013,05,CHINA,EELS IN OIL NOT >7KG,1630,43488
2013,05,CHINA,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,3175,22050
2013,05,JAPAN,EELS FROZEN,106,2196
2013,05,JAPAN,EELS IN ATC NOT IN OIL,157,8269
2013,05,JAPAN,EELS IN OIL NOT >7KG,115,3301
2013,05,NORWAY,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,10206,73125
2013,05,SOUTH KOREA,EELS IN OIL >7KG,220,3901
2013,05,TAIWAN,EELS IN ATC NOT IN OIL,3702,27433
2013,05,VIETNAM,EELS FROZEN,15741,67768
2013,05,VIETNAM,EELS IN OIL NOT >7KG,1300,8686
2013,06,CHINA,EELS FROZEN,23270,325800
2013,06,CHINA,EELS IN ATC NOT IN OIL,81101,1977395
2013,06,JAPAN,EELS IN ATC NOT IN OIL,13083,77302
2013,06,JAPAN,EELS IN OIL NOT >7KG,313,7899
2013,06,PORTUGAL,EELS FRESH,143,2050
2013,06,TAIWAN,EELS IN OIL NOT >7KG,1616,18238
2013,06,VIETNAM,EELS FROZEN,31129,131161
2013,07,CANADA,EELS FROZEN,1003,13045
2013,07,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,374,2161
2013,07,CHINA,EELS FROZEN,2140,12241
2013,07,CHINA,EELS IN ATC NOT IN OIL,52000,913100
2013,07,CHINA,EELS IN OIL >7KG,1000,9576
2013,07,JAPAN,EELS IN ATC NOT IN OIL,277,6685
2013,07,JAPAN,EELS IN OIL NOT >7KG,543,24775
2013,07,MEXICO,EELS FROZEN,4000,24000
2013,07,PHILIPPINES,EELS IN OIL NOT >7KG,610,4590
2013,07,TAIWAN,EELS IN ATC NOT IN OIL,4255,16661
2013,07,VIETNAM,EELS FROZEN,17582,79273
2013,08,CANADA,EELS FROZEN,975,14513
2013,08,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1533,4356
2013,08,CHINA,EELS IN ATC NOT IN OIL,60672,1505491
2013,08,JAPAN,EELS IN ATC NOT IN OIL,362,14203
2013,08,JAPAN,EELS IN OIL NOT >7KG,244,7521
2013,08,TAIWAN,EELS IN ATC NOT IN OIL,4896,18171
2013,09,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1203,6807
2013,09,CHINA,EELS IN ATC NOT IN OIL,96632,2298962
2013,09,JAPAN,EELS IN OIL NOT >7KG,252,10666
2013,09,NORWAY,EELS STICKS TYPE PRODUCTS COOKED OR IN OIL,2268,16500
2013,09,PAKISTAN,EELS FROZEN,22453,67353
2013,09,PANAMA,EELS FROZEN,11849,17030
2013,09,SOUTH KOREA,EELS IN OIL NOT >7KG,408,7171
2013,09,TAIWAN,EELS IN ATC NOT IN OIL,1459,14017
2013,09,VIETNAM,EELS FROZEN,7129,42321
2013,10,CANADA,EELS FROZEN,1814,22000
2013,10,CHINA,EELS FROZEN,17998,440725
2013,10,CHINA,EELS IN ATC NOT IN OIL,144508,3182085
2013,10,JAPAN,EELS IN ATC NOT IN OIL,3559,60190
2013,10,JAPAN,EELS IN OIL NOT >7KG,225,7558
2013,10,TAIWAN,EELS IN ATC NOT IN OIL,2780,21281
2013,11,CANADA,EELS FROZEN,907,11000
2013,11,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,3881,22910
2013,11,CHINA,EELS FROZEN,13281,45026
2013,11,CHINA,EELS IN ATC NOT IN OIL,69420,1727231
2013,11,JAPAN,EELS IN OIL NOT >7KG,576,17332
2013,11,PORTUGAL,EELS FRESH,355,4351
2013,11,PORTUGAL,EELS FROZEN,365,4254
2013,11,SOUTH KOREA,EELS IN OIL NOT >7KG,100,3050
2013,11,TAIWAN,EELS IN ATC NOT IN OIL,6942,32958
2013,11,VIETNAM,EELS FROZEN,8947,42363
2013,12,CANADA,EELS FROZEN,585,3294
2013,12,CHINA,EELS FROZEN,6959,25546
2013,12,CHINA,EELS IN ATC NOT IN OIL,97100,2433981
2013,12,JAPAN,EELS IN OIL NOT >7KG,256,6147
2013,12,NEW ZEALAND,EELS FRESH,270,2976
2013,12,SPAIN,EELS IN ATC NOT IN OIL,275,4125
2013,12,TAIWAN,EELS IN ATC NOT IN OIL,8850,53106
2013,12,VIETNAM,EELS FROZEN,7651,27209
2014,01,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,7252,16087
2014,01,CHILE,EELS IN ATC NOT IN OIL,5583,32000
2014,01,CHINA,EELS FROZEN,10079,37869
2014,01,CHINA,EELS IN ATC NOT IN OIL,74000,1900034
2014,01,JAPAN,EELS IN ATC NOT IN OIL,57,3274
2014,01,JAPAN,EELS IN OIL NOT >7KG,115,3242
2014,01,PORTUGAL,EELS FRESH,315,5229
2014,01,SOUTH KOREA,EELS FROZEN,12374,170500
2014,01,TAIWAN,EELS IN ATC NOT IN OIL,2330,11277
2014,01,VIETNAM,EELS FROZEN,10268,44977
2014,02,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1161,7194
2014,02,CHILE,EELS IN ATC NOT IN OIL,602,28680
2014,02,CHINA,EELS IN ATC NOT IN OIL,79280,1575589
2014,02,JAPAN,EELS IN ATC NOT IN OIL,429,8066
2014,02,JAPAN,EELS IN OIL NOT >7KG,115,3242
2014,02,PORTUGAL,EELS FROZEN,528,3097
2014,02,TAIWAN,EELS IN ATC NOT IN OIL,1773,11641
2014,02,THAILAND,EELS IN ATC NOT IN OIL,740,5950
2014,02,VIETNAM,EELS FROZEN,2543,11827
2014,03,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,2396,13858
2014,03,CHINA,EELS IN ATC NOT IN OIL,67100,1564576
2014,03,JAPAN,EELS IN ATC NOT IN OIL,223,12073
2014,03,JAPAN,EELS IN OIL NOT >7KG,89,8350
2014,03,PORTUGAL,EELS FRESH,436,4398
2014,03,PORTUGAL,EELS IN ATC NOT IN OIL,60,2444
2014,03,SPAIN,EELS IN OIL NOT >7KG,172,2414
2014,03,TAIWAN,EELS IN ATC NOT IN OIL,2553,12380
2014,03,VIETNAM,EELS FRESH,319,2061
2014,04,CANADA,EELS FROZEN,389,5792
2014,04,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,997,6078
2014,04,CHINA,EELS FROZEN,18000,489066
2014,04,CHINA,EELS IN ATC NOT IN OIL,99600,1913644
2014,04,JAPAN,EELS FROZEN,30,2515
2014,04,JAPAN,EELS IN ATC NOT IN OIL,38,3688
2014,04,JAPAN,EELS IN OIL NOT >7KG,145,6507
2014,04,PORTUGAL,EELS FRESH,1881,15447
2014,04,PORTUGAL,EELS FROZEN,614,2927
2014,04,TAIWAN,EELS IN ATC NOT IN OIL,2010,14547
2014,05,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,374,2269
2014,05,CHINA,EELS FROZEN,8000,74103
2014,05,CHINA,EELS IN ATC NOT IN OIL,51680,865221
2014,05,JAPAN,EELS FRESH,2421,28358
2014,05,JAPAN,EELS IN OIL NOT >7KG,293,8463
2014,05,SOUTH KOREA,EELS FROZEN,2994,40920
2014,05,TAIWAN,EELS IN ATC NOT IN OIL,2352,20467
2014,05,THAILAND,EELS FROZEN,500,4055
2014,05,VIETNAM,EELS IN OIL NOT >7KG,1600,10754
2014,06,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,2572,11946
2014,06,CHINA,EELS IN ATC NOT IN OIL,130500,2426572
2014,06,JAPAN,EELS IN ATC NOT IN OIL,18615,116247
2014,06,JAPAN,EELS IN OIL NOT >7KG,110,2591
2014,06,PORTUGAL,EELS FRESH,239,2385
2014,06,SOUTH KOREA,EELS IN ATC NOT IN OIL,10000,230000
2014,06,TAIWAN,EELS IN ATC NOT IN OIL,12409,75270
2014,06,THAILAND,EELS FROZEN,13870,52000
2014,07,CANADA,EELS STICKS TYPE PRODUCTS NOT COOKED NOT IN OIL,1347,7054
2014,07,CHINA,EELS FROZEN,21000,418207
2014,07,CHINA,EELS IN ATC NOT IN OIL,180526,3249519
2014,07,CHINA,EELS IN OIL NOT >7KG,500,10388
2014,07,JAPAN,EELS IN OIL NOT >7KG,290,12839
2014,07,POLAND,EELS IN ATC NOT IN OIL,864,3457
2014,07,PORTUGAL,EELS FROZEN,1230,7102
2014,07,TAIWAN,EELS IN ATC NOT IN OIL,20452,305147
2014,07,VIETNAM,EELS FROZEN,8628,29936
